Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful,period
GreaterManchester,3,100.0%,0,0.0%,566,81.7%,127,18.3%,92,72.4%,35,27.6%,58,90.6%,6,9.4%,19,73.1%,7,26.9%,248,93.9%,16,6.1%,41,85.4%,7,14.6%,80,94.1%,5,5.9%,127,87.0%,19,13.0%,162,91.5%,15,8.5%,52,94.5%,3,5.5%,325,78.1%,91,21.9%,31,100.0%,Jul.csv 2016
Gwent,1,100.0%,0,0.0%,81,82.7%,17,17.3%,7,63.6%,4,36.4%,10,90.9%,1,9.1%,5,100.0%,0,0.0%,79,92.9%,6,7.1%,6,100.0%,0,0.0%,18,78.3%,5,21.7%,33,94.3%,2,5.7%,35,97.2%,1,2.8%,3,75.0%,1,25.0%,92,90.2%,10,9.8%,1,100.0%,Jul.csv 2016
Hampshire,2,100.0%,0,0.0%,270,87.7%,38,12.3%,30,76.9%,9,23.1%,31,86.1%,5,13.9%,6,100.0%,0,0.0%,176,94.6%,10,5.4%,33,84.6%,6,15.4%,43,87.8%,6,12.2%,65,95.6%,3,4.4%,63,85.1%,11,14.9%,14,93.3%,1,6.7%,190,92.2%,16,7.8%,13,100.0%,Jul.csv 2016
Hertfordshire,1,50.0%,1,50.0%,181,85.0%,32,15.0%,15,88.2%,2,11.8%,22,100.0%,0,0.0%,2,50.0%,2,50.0%,145,89.5%,17,10.5%,31,93.9%,2,6.1%,34,94.4%,2,5.6%,80,97.6%,2,2.4%,40,78.4%,11,21.6%,8,88.9%,1,11.1%,133,83.1%,27,16.9%,12,100.0%,Jul.csv 2016
Humberside,1,100.0%,0,0.0%,160,83.8%,31,16.2%,28,70.0%,12,30.0%,32,78.0%,9,22.0%,6,66.7%,3,33.3%,140,97.9%,3,2.1%,7,100.0%,0,0.0%,48,87.3%,7,12.7%,51,96.2%,2,3.8%,63,92.6%,5,7.4%,9,90.0%,1,10.0%,115,92.0%,10,8.0%,9,100.0%,Jul.csv 2016
Kent,8,100.0%,0,0.0%,266,79.9%,67,20.1%,20,69.0%,9,31.0%,32,88.9%,4,11.1%,8,100.0%,0,0.0%,172,92.5%,14,7.5%,39,86.7%,6,13.3%,40,83.3%,8,16.7%,90,91.8%,8,8.2%,45,86.5%,7,13.5%,28,70.0%,12,30.0%,165,87.8%,23,12.2%,23,100.0%,Jul.csv 2016
Lancashire,2,100.0%,0,0.0%,230,72.6%,87,27.4%,18,94.7%,1,5.3%,40,87.0%,6,13.0%,12,80.0%,3,20.0%,186,93.0%,14,7.0%,30,90.9%,3,9.1%,53,85.5%,9,14.5%,76,90.5%,8,9.5%,99,89.2%,12,10.8%,18,72.0%,7,28.0%,201,81.0%,47,19.0%,6,100.0%,Jul.csv 2016
Leicestershire,1,100.0%,0,0.0%,135,79.9%,34,20.1%,26,76.5%,8,23.5%,19,100.0%,0,0.0%,2,100.0%,0,0.0%,104,95.4%,5,4.6%,11,84.6%,2,15.4%,31,86.1%,5,13.9%,36,97.3%,1,2.7%,55,90.2%,6,9.8%,8,72.7%,3,27.3%,119,89.5%,14,10.5%,7,100.0%,Jul.csv 2016
Lincolnshire,0,-,0,-,136,76.8%,41,23.2%,4,100.0%,0,0.0%,12,100.0%,0,0.0%,2,33.3%,4,66.7%,97,90.7%,10,9.3%,9,81.8%,2,18.2%,31,86.1%,5,13.9%,37,97.4%,1,2.6%,52,78.8%,14,21.2%,18,66.7%,9,33.3%,134,78.8%,36,21.2%,12,100.0%,Jul.csv 2016
Merseyside,1,100.0%,0,0.0%,325,86.0%,53,14.0%,30,78.9%,8,21.1%,22,88.0%,3,12.0%,10,90.9%,1,9.1%,200,97.6%,5,2.4%,25,73.5%,9,26.5%,41,85.4%,7,14.6%,164,94.8%,9,5.2%,96,88.9%,12,11.1%,18,90.0%,2,10.0%,212,90.2%,23,9.8%,15,100.0%,Jul.csv 2016
Metropolitan and City,21,70.0%,9,30.0%,"1,804",67.7%,862,32.3%,143,65.6%,75,34.4%,195,80.6%,47,19.4%,92,73.6%,33,26.4%,"1,022",84.0%,194,16.0%,283,84.0%,54,16.0%,240,73.8%,85,26.2%,"1,075",91.3%,102,8.7%,518,75.8%,165,24.2%,106,78.5%,29,21.5%,919,75.3%,301,24.7%,222,100.0%,Jul.csv 2016
Norfolk,0,-,0,-,154,81.9%,34,18.1%,13,86.7%,2,13.3%,20,87.0%,3,13.0%,6,100.0%,0,0.0%,116,94.3%,7,5.7%,9,81.8%,2,18.2%,40,87.0%,6,13.0%,44,100.0%,0,0.0%,69,92.0%,6,8.0%,16,88.9%,2,11.1%,98,96.1%,4,3.9%,12,100.0%,Jul.csv 2016
Northamptonshire,0,-,0,-,122,77.2%,36,22.8%,7,100.0%,0,0.0%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,90,91.8%,8,8.2%,4,100.0%,0,0.0%,20,95.2%,1,4.8%,33,100.0%,0,0.0%,24,85.7%,4,14.3%,11,44.0%,14,56.0%,111,89.5%,13,10.5%,21,100.0%,Jul.csv 2016
Northumbria,6,85.7%,1,14.3%,295,77.6%,85,22.4%,41,74.5%,14,25.5%,52,83.9%,10,16.1%,2,33.3%,4,66.7%,304,92.7%,24,7.3%,24,82.8%,5,17.2%,77,80.2%,19,19.8%,98,97.0%,3,3.0%,158,83.6%,31,16.4%,20,83.3%,4,16.7%,198,84.3%,37,15.7%,13,100.0%,Jul.csv 2016
North Wales,1,100.0%,0,0.0%,144,78.3%,40,21.7%,24,77.4%,7,22.6%,19,90.5%,2,9.5%,0,0,0,0,112,94.1%,7,5.9%,12,80.0%,3,20.0%,29,87.9%,4,12.1%,42,95.5%,2,4.5%,45,78.9%,12,21.1%,9,100.0%,0,0.0%,121,86.4%,19,13.6%,6,100.0%,Jul.csv 2016
North Yorkshire,2,100.0%,0,0.0%,101,75.9%,32,24.1%,10,100.0%,0,0.0%,18,90.0%,2,10.0%,2,100.0%,0,0.0%,114,91.9%,10,8.1%,4,50.0%,4,50.0%,28,87.5%,4,12.5%,63,92.6%,5,7.4%,62,91.2%,6,8.8%,12,100.0%,0,0.0%,98,86.7%,15,13.3%,10,100.0%,Jul.csv 2016
Nottinghamshire,5,83.3%,1,16.7%,225,78.1%,63,21.9%,37,84.1%,7,15.9%,23,67.6%,11,32.4%,16,84.2%,3,15.8%,189,90.4%,20,9.6%,22,78.6%,6,21.4%,46,85.2%,8,14.8%,132,93.6%,9,6.4%,55,74.3%,19,25.7%,15,78.9%,4,21.1%,175,87.1%,26,12.9%,26,100.0%,Jul.csv 2016
South Wales,3,100.0%,0,0.0%,332,72.8%,124,27.2%,28,75.7%,9,24.3%,36,83.7%,7,16.3%,9,90.0%,1,10.0%,252,92.6%,20,7.4%,19,82.6%,4,17.4%,59,80.8%,14,19.2%,201,95.3%,10,4.7%,129,85.4%,22,14.6%,19,95.0%,1,5.0%,268,77.5%,78,22.5%,11,100.0%,Jul.csv 2016
South Yorkshire,4,57.1%,3,42.9%,213,73.7%,76,26.3%,13,100.0%,0,0.0%,25,86.2%,4,13.8%,13,92.9%,1,7.1%,226,95.0%,12,5.0%,23,88.5%,3,11.5%,60,88.2%,8,11.8%,127,99.2%,1,0.8%,87,95.6%,4,4.4%,18,94.7%,1,5.3%,174,85.7%,29,14.3%,20,100.0%,Jul.csv 2016
Staffordshire,1,20.0%,4,80.0%,215,72.1%,83,27.9%,23,74.2%,8,25.8%,30,100.0%,0,0.0%,5,100.0%,0,0.0%,147,98.0%,3,2.0%,6,85.7%,1,14.3%,48,87.3%,7,12.7%,65,94.2%,4,5.8%,94,81.7%,21,18.3%,13,92.9%,1,7.1%,162,80.6%,39,19.4%,15,100.0%,Jul.csv 2016
Suffolk,1,100.0%,0,0.0%,114,85.7%,19,14.3%,7,63.6%,4,36.4%,3,75.0%,1,25.0%,2,100.0%,0,0.0%,67,91.8%,6,8.2%,9,81.8%,2,18.2%,25,92.6%,2,7.4%,39,97.5%,1,2.5%,38,82.6%,8,17.4%,6,85.7%,1,14.3%,94,97.9%,2,2.1%,15,100.0%,Jul.csv 2016
Surrey,1,100.0%,0,0.0%,115,74.7%,39,25.3%,27,84.4%,5,15.6%,9,100.0%,0,0.0%,6,85.7%,1,14.3%,50,98.0%,1,2.0%,5,83.3%,1,16.7%,17,89.5%,2,10.5%,37,94.9%,2,5.1%,23,79.3%,6,20.7%,1,100.0%,0,0.0%,123,91.8%,11,8.2%,5,100.0%,Jul.csv 2016
Sussex,1,33.3%,2,66.7%,224,78.3%,62,21.7%,21,56.8%,16,43.2%,18,85.7%,3,14.3%,3,27.3%,8,72.7%,146,91.8%,13,8.2%,16,76.2%,5,23.8%,38,82.6%,8,17.4%,90,94.7%,5,5.3%,56,86.2%,9,13.8%,12,80.0%,3,20.0%,184,91.5%,17,8.5%,12,100.0%,Jul.csv 2016
Thames Valley,2,100.0%,0,0.0%,351,74.2%,122,25.8%,40,64.5%,22,35.5%,23,79.3%,6,20.7%,7,87.5%,1,12.5%,210,90.5%,22,9.5%,24,80.0%,6,20.0%,40,87.0%,6,13.0%,124,96.1%,5,3.9%,90,80.4%,22,19.6%,22,88.0%,3,12.0%,228,89.1%,28,10.9%,15,100.0%,Jul.csv 2016
Warwickshire,1,100.0%,0,0.0%,60,82.2%,13,17.8%,8,88.9%,1,11.1%,9,90.0%,1,10.0%,2,100.0%,0,0.0%,47,88.7%,6,11.3%,11,73.3%,4,26.7%,8,66.7%,4,33.3%,19,90.5%,2,9.5%,23,92.0%,2,8.0%,5,83.3%,1,16.7%,94,87.0%,14,13.0%,2,100.0%,Jul.csv 2016
West Mercia,0,-,0,-,199,82.9%,41,17.1%,19,63.3%,11,36.7%,18,75.0%,6,25.0%,1,50.0%,1,50.0%,167,91.3%,16,8.7%,11,91.7%,1,8.3%,35,81.4%,8,18.6%,82,95.3%,4,4.7%,68,84.0%,13,16.0%,13,92.9%,1,7.1%,182,80.2%,45,19.8%,3,100.0%,Jul.csv 2016
West Midlands,5,71.4%,2,28.6%,655,75.8%,209,24.2%,83,76.9%,25,23.1%,67,82.7%,14,17.3%,39,83.0%,8,17.0%,548,92.6%,44,7.4%,67,81.7%,15,18.3%,96,88.9%,12,11.1%,243,94.2%,15,5.8%,249,81.4%,57,18.6%,75,96.2%,3,3.8%,349,81.9%,77,18.1%,75,100.0%,Jul.csv 2016
West Yorkshire,7,87.5%,1,12.5%,475,79.8%,120,20.2%,65,76.5%,20,23.5%,56,87.5%,8,12.5%,19,79.2%,5,20.8%,345,94.5%,20,5.5%,27,84.4%,5,15.6%,89,87.3%,13,12.7%,131,94.9%,7,5.1%,135,83.9%,26,16.1%,46,97.9%,1,2.1%,298,87.4%,43,12.6%,32,100.0%,Jul.csv 2016
Wiltshire,0,-,0,-,114,94.2%,7,5.8%,16,88.9%,2,11.1%,11,100.0%,0,0.0%,1,100.0%,0,0.0%,91,93.8%,6,6.2%,10,83.3%,2,16.7%,21,91.3%,2,8.7%,36,92.3%,3,7.7%,45,90.0%,5,10.0%,3,100.0%,0,0.0%,61,93.8%,4,6.2%,3,100.0%,Jul.csv 2016
National,112,84.2%,21,15.8%,"11,080",78.2%,"3,080",21.8%,"1,091",74.2%,380,25.8%,"1,152",83.7%,224,16.3%,398,82.2%,86,17.8%,"7,790",91.9%,688,8.1%,939,87.3%,137,12.7%,"2,061",85.7%,343,14.3%,"4,173",93.6%,284,6.4%,"3,508",84.2%,659,15.8%,793,86.0%,129,14.0%,"7,729",84.8%,"1,381",15.2%,770,100.0%,June.csv 2016
Avon and Somerset,3,100.0%,0,0.0%,301,82.2%,65,17.8%,61,75.3%,20,24.7%,27,84.4%,5,15.6%,4,57.1%,3,42.9%,240,92.7%,19,7.3%,11,91.7%,1,8.3%,56,86.2%,9,13.8%,111,88.1%,15,11.9%,75,84.3%,14,15.7%,9,90.0%,1,10.0%,203,87.9%,28,12.1%,21,100.0%,June.csv 2016
Bedfordshire,4,100.0%,0,0.0%,99,78.6%,27,21.4%,3,60.0%,2,40.0%,12,100.0%,0,0.0%,12,92.3%,1,7.7%,71,94.7%,4,5.3%,7,87.5%,1,12.5%,23,79.3%,6,20.7%,38,95.0%,2,5.0%,23,76.7%,7,23.3%,5,83.3%,1,16.7%,94,79.0%,25,21.0%,8,100.0%,June.csv 2016
Cambridgeshire,0,-,0,-,158,77.8%,45,22.2%,16,100.0%,0,0.0%,8,100.0%,0,0.0%,13,92.9%,1,7.1%,99,98.0%,2,2.0%,10,90.9%,1,9.1%,39,83.0%,8,17.0%,28,93.3%,2,6.7%,34,85.0%,6,15.0%,11,73.3%,4,26.7%,98,92.5%,8,7.5%,17,100.0%,June.csv 2016
Cheshire,1,100.0%,0,0.0%,258,83.2%,52,16.8%,23,100.0%,0,0.0%,15,83.3%,3,16.7%,5,55.6%,4,44.4%,169,97.1%,5,2.9%,14,100.0%,0,0.0%,39,84.8%,7,15.2%,85,97.7%,2,2.3%,100,90.1%,11,9.9%,10,83.3%,2,16.7%,191,89.7%,22,10.3%,12,100.0%,June.csv 2016
Cleveland,7,100.0%,0,0.0%,126,78.3%,35,21.7%,9,81.8%,2,18.2%,26,86.7%,4,13.3%,29,82.9%,6,17.1%,228,94.6%,13,5.4%,11,78.6%,3,21.4%,31,86.1%,5,13.9%,67,94.4%,4,5.6%,43,76.8%,13,23.2%,12,92.3%,1,7.7%,89,92.7%,7,7.3%,8,100.0%,June.csv 2016
Cumbria,0,-,0,-,125,82.8%,26,17.2%,4,100.0%,0,0.0%,17,81.0%,4,19.0%,0,0,0,0,87,93.5%,6,6.5%,10,90.9%,1,9.1%,26,89.7%,3,10.3%,37,92.5%,3,7.5%,57,91.9%,5,8.1%,9,90.0%,1,10.0%,83,89.2%,10,10.8%,3,100.0%,June.csv 2016
Derbyshire,1,100.0%,0,0.0%,216,85.4%,37,14.6%,5,100.0%,0,0.0%,17,100.0%,0,0.0%,9,69.2%,4,30.8%,130,87.8%,18,12.2%,9,52.9%,8,47.1%,40,80.0%,10,20.0%,51,92.7%,4,7.3%,85,90.4%,9,9.6%,22,81.5%,5,18.5%,143,84.6%,26,15.4%,19,100.0%,June.csv 2016
Devon and Cornwall,7,100.0%,0,0.0%,234,81.8%,52,18.2%,17,73.9%,6,26.1%,16,72.7%,6,27.3%,6,100.0%,0,0.0%,108,91.5%,10,8.5%,14,87.5%,2,12.5%,43,91.5%,4,8.5%,63,96.9%,2,3.1%,59,81.9%,13,18.1%,5,100.0%,0,0.0%,208,85.6%,35,14.4%,19,100.0%,June.csv 2016
Dorset,1,50.0%,1,50.0%,145,87.3%,21,12.7%,6,66.7%,3,33.3%,12,92.3%,1,7.7%,2,50.0%,2,50.0%,92,95.8%,4,4.2%,10,90.9%,1,9.1%,26,100.0%,0,0.0%,47,100.0%,0,0.0%,33,91.7%,3,8.3%,7,100.0%,0,0.0%,89,90.8%,9,9.2%,11,100.0%,June.csv 2016
Durham,0,-,0,-,112,78.9%,30,21.1%,7,100.0%,0,0.0%,20,83.3%,4,16.7%,4,100.0%,0,0.0%,134,91.8%,12,8.2%,11,100.0%,0,0.0%,32,97.0%,1,3.0%,15,100.0%,0,0.0%,30,65.2%,16,34.8%,4,80.0%,1,20.0%,95,90.5%,10,9.5%,2,100.0%,June.csv 2016
Dyfed Powys,0,0.0%,1,100.0%,75,81.5%,17,18.5%,9,75.0%,3,25.0%,8,72.7%,3,27.3%,2,100.0%,0,0.0%,30,93.8%,2,6.3%,12,85.7%,2,14.3%,18,94.7%,1,5.3%,62,95.4%,3,4.6%,27,93.1%,2,6.9%,6,100.0%,0,0.0%,93,80.2%,23,19.8%,2,100.0%,June.csv 2016
Essex,2,100.0%,0,0.0%,334,76.8%,101,23.2%,37,71.2%,15,28.8%,31,81.6%,7,18.4%,6,60.0%,4,40.0%,187,88.2%,25,11.8%,18,94.7%,1,5.3%,70,89.7%,8,10.3%,73,92.4%,6,7.6%,53,84.1%,10,15.9%,17,81.0%,4,19.0%,226,88.3%,30,11.7%,21,100.0%,June.csv 2016
Gloucestershire,2,100.0%,0,0.0%,86,82.7%,18,17.3%,9,90.0%,1,10.0%,21,95.5%,1,4.5%,1,50.0%,1,50.0%,50,92.6%,4,7.4%,5,83.3%,1,16.7%,11,68.8%,5,31.3%,25,100.0%,0,0.0%,21,100.0%,0,0.0%,6,100.0%,0,0.0%,63,94.0%,4,6.0%,7,100.0%,June.csv 2016
GreaterManchester,4,80.0%,1,20.0%,574,77.4%,168,22.6%,87,77.7%,25,22.3%,88,87.1%,13,12.9%,22,84.6%,4,15.4%,271,95.8%,12,4.2%,23,82.1%,5,17.9%,88,85.4%,15,14.6%,102,92.7%,8,7.3%,153,86.0%,25,14.0%,37,92.5%,3,7.5%,345,83.3%,69,16.7%,32,100.0%,June.csv 2016
Gwent,0,-,0,-,101,80.8%,24,19.2%,11,73.3%,4,26.7%,11,64.7%,6,35.3%,1,50.0%,1,50.0%,77,92.8%,6,7.2%,15,100.0%,0,0.0%,30,85.7%,5,14.3%,47,94.0%,3,6.0%,30,83.3%,6,16.7%,5,100.0%,0,0.0%,92,81.4%,21,18.6%,8,100.0%,June.csv 2016
Hampshire,2,100.0%,0,0.0%,288,84.5%,53,15.5%,38,88.4%,5,11.6%,29,93.5%,2,6.5%,7,87.5%,1,12.5%,165,92.2%,14,7.8%,33,89.2%,4,10.8%,42,91.3%,4,8.7%,86,94.5%,5,5.5%,68,91.9%,6,8.1%,18,90.0%,2,10.0%,244,89.1%,30,10.9%,14,100.0%,June.csv 2016
Hertfordshire,2,100.0%,0,0.0%,171,79.2%,45,20.8%,7,87.5%,1,12.5%,16,88.9%,2,11.1%,5,71.4%,2,28.6%,159,91.4%,15,8.6%,40,93.0%,3,7.0%,29,78.4%,8,21.6%,84,91.3%,8,8.7%,45,88.2%,6,11.8%,9,81.8%,2,18.2%,123,83.1%,25,16.9%,15,100.0%,June.csv 2016
Humberside,1,100.0%,0,0.0%,175,85.8%,29,14.2%,30,71.4%,12,28.6%,22,81.5%,5,18.5%,8,88.9%,1,11.1%,151,96.8%,5,3.2%,7,63.6%,4,36.4%,55,93.2%,4,6.8%,57,96.6%,2,3.4%,66,90.4%,7,9.6%,13,86.7%,2,13.3%,119,87.5%,17,12.5%,12,100.0%,June.csv 2016
Kent,3,75.0%,1,25.0%,250,79.6%,64,20.4%,25,69.4%,11,30.6%,31,88.6%,4,11.4%,6,100.0%,0,0.0%,157,91.3%,15,8.7%,42,91.3%,4,8.7%,44,81.5%,10,18.5%,105,92.9%,8,7.1%,47,78.3%,13,21.7%,15,78.9%,4,21.1%,212,91.0%,21,9.0%,29,100.0%,June.csv 2016
Lancashire,2,66.7%,1,33.3%,311,79.1%,82,20.9%,26,100.0%,0,0.0%,39,78.0%,11,22.0%,13,86.7%,2,13.3%,233,93.6%,16,6.4%,17,81.0%,4,19.0%,53,89.8%,6,10.2%,107,95.5%,5,4.5%,130,88.4%,17,11.6%,25,80.6%,6,19.4%,240,84.5%,44,15.5%,4,100.0%,June.csv 2016
Leicestershire,1,100.0%,0,0.0%,136,84.5%,25,15.5%,21,70.0%,9,30.0%,8,80.0%,2,20.0%,2,100.0%,0,0.0%,88,96.7%,3,3.3%,15,100.0%,0,0.0%,27,87.1%,4,12.9%,27,100.0%,0,0.0%,39,90.7%,4,9.3%,8,80.0%,2,20.0%,118,87.4%,17,12.6%,10,100.0%,June.csv 2016
Lincolnshire,1,100.0%,0,0.0%,112,75.2%,37,24.8%,9,100.0%,0,0.0%,17,77.3%,5,22.7%,6,85.7%,1,14.3%,112,94.1%,7,5.9%,7,100.0%,0,0.0%,43,95.6%,2,4.4%,38,95.0%,2,5.0%,56,86.2%,9,13.8%,18,69.2%,8,30.8%,155,83.8%,30,16.2%,6,100.0%,June.csv 2016
Merseyside,3,100.0%,0,0.0%,345,82.1%,75,17.9%,38,67.9%,18,32.1%,34,91.9%,3,8.1%,8,88.9%,1,11.1%,182,94.8%,10,5.2%,23,92.0%,2,8.0%,67,91.8%,6,8.2%,205,92.3%,17,7.7%,99,92.5%,8,7.5%,26,89.7%,3,10.3%,194,88.2%,26,11.8%,20,100.0%,June.csv 2016
Metropolitan and City,26,76.5%,8,23.5%,"1,827",70.2%,775,29.8%,169,66.8%,84,33.2%,205,82.0%,45,18.0%,84,80.0%,21,20.0%,"1,087",85.2%,189,14.8%,263,84.3%,49,15.7%,265,79.8%,67,20.2%,"1,156",91.6%,106,8.4%,494,71.8%,194,28.2%,135,81.3%,31,18.7%,"1,010",76.6%,308,23.4%,221,100.0%,June.csv 2016
Norfolk,0,0.0%,1,100.0%,186,83.0%,38,17.0%,11,100.0%,0,0.0%,17,85.0%,3,15.0%,0,0.0%,1,100.0%,136,93.8%,9,6.2%,8,100.0%,0,0.0%,44,88.0%,6,12.0%,38,95.0%,2,5.0%,70,89.7%,8,10.3%,11,100.0%,0,0.0%,120,96.0%,5,4.0%,13,100.0%,June.csv 2016
Northamptonshire,3,100.0%,0,0.0%,115,75.7%,37,24.3%,4,100.0%,0,0.0%,7,77.8%,2,22.2%,1,50.0%,1,50.0%,89,91.8%,8,8.2%,6,85.7%,1,14.3%,24,96.0%,1,4.0%,35,97.2%,1,2.8%,30,78.9%,8,21.1%,11,91.7%,1,8.3%,128,87.7%,18,12.3%,17,100.0%,June.csv 2016
Northumbria,1,50.0%,1,50.0%,337,71.5%,134,28.5%,55,74.3%,19,25.7%,49,80.3%,12,19.7%,9,64.3%,5,35.7%,355,88.3%,47,11.7%,23,88.5%,3,11.5%,81,74.3%,28,25.7%,89,91.8%,8,8.2%,192,81.0%,45,19.0%,22,81.5%,5,18.5%,254,83.6%,50,16.4%,6,100.0%,June.csv 2016
North Wales,0,-,0,-,150,82.0%,33,18.0%,22,91.7%,2,8.3%,26,100.0%,0,0.0%,2,100.0%,0,0.0%,110,92.4%,9,7.6%,7,100.0%,0,0.0%,29,85.3%,5,14.7%,47,94.0%,3,6.0%,94,92.2%,8,7.8%,10,90.9%,1,9.1%,134,87.0%,20,13.0%,2,100.0%,June.csv 2016
North Yorkshire,0,-,0,-,118,82.5%,25,17.5%,5,83.3%,1,16.7%,15,93.8%,1,6.3%,1,100.0%,0,0.0%,135,95.1%,7,4.9%,8,88.9%,1,11.1%,31,100.0%,0,0.0%,39,90.7%,4,9.3%,40,90.9%,4,9.1%,9,81.8%,2,18.2%,134,95.0%,7,5.0%,6,100.0%,June.csv 2016
Nottinghamshire,1,100.0%,0,0.0%,280,80.2%,69,19.8%,33,73.3%,12,26.7%,19,67.9%,9,32.1%,17,85.0%,3,15.0%,266,90.8%,27,9.2%,15,78.9%,4,21.1%,51,78.5%,14,21.5%,109,94.8%,6,5.2%,87,84.5%,16,15.5%,18,90.0%,2,10.0%,165,83.3%,33,16.7%,20,100.0%,June.csv 2016
South Wales,3,100.0%,0,0.0%,356,74.2%,124,25.8%,26,72.2%,10,27.8%,25,80.6%,6,19.4%,11,100.0%,0,0.0%,223,94.1%,14,5.9%,30,88.2%,4,11.8%,66,88.0%,9,12.0%,112,95.7%,5,4.3%,126,90.6%,13,9.4%,21,91.3%,2,8.7%,216,74.2%,75,25.8%,12,100.0%,June.csv 2016
South Yorkshire,3,100.0%,0,0.0%,222,80.4%,54,19.6%,10,83.3%,2,16.7%,20,83.3%,4,16.7%,1,50.0%,1,50.0%,250,92.9%,19,7.1%,13,100.0%,0,0.0%,60,90.9%,6,9.1%,98,94.2%,6,5.8%,102,91.9%,9,8.1%,26,96.3%,1,3.7%,175,87.5%,25,12.5%,10,100.0%,June.csv 2016
Staffordshire,3,100.0%,0,0.0%,227,77.7%,65,22.3%,28,87.5%,4,12.5%,14,77.8%,4,22.2%,5,83.3%,1,16.7%,147,92.5%,12,7.5%,11,91.7%,1,8.3%,54,84.4%,10,15.6%,88,97.8%,2,2.2%,74,91.4%,7,8.6%,23,88.5%,3,11.5%,172,79.6%,44,20.4%,8,100.0%,June.csv 2016
Suffolk,0,-,0,-,128,88.9%,16,11.1%,2,66.7%,1,33.3%,14,93.3%,1,6.7%,2,100.0%,0,0.0%,54,94.7%,3,5.3%,8,100.0%,0,0.0%,27,90.0%,3,10.0%,34,100.0%,0,0.0%,33,91.7%,3,8.3%,7,87.5%,1,12.5%,108,96.4%,4,3.6%,6,100.0%,June.csv 2016
Surrey,0,-,0,-,159,78.7%,43,21.3%,5,35.7%,9,64.3%,17,81.0%,4,19.0%,2,100.0%,0,0.0%,47,92.2%,4,7.8%,8,88.9%,1,11.1%,17,77.3%,5,22.7%,32,94.1%,2,5.9%,29,96.7%,1,3.3%,11,78.6%,3,21.4%,102,86.4%,16,13.6%,15,100.0%,June.csv 2016
Sussex,0,-,0,-,230,83.3%,46,16.7%,33,66.0%,17,34.0%,26,74.3%,9,25.7%,8,72.7%,3,27.3%,147,93.0%,11,7.0%,12,100.0%,0,0.0%,41,82.0%,9,18.0%,58,92.1%,5,7.9%,71,89.9%,8,10.1%,26,100.0%,0,0.0%,192,94.1%,12,5.9%,13,100.0%,June.csv 2016
Thames Valley,5,83.3%,1,16.7%,369,77.4%,108,22.6%,40,65.6%,21,34.4%,14,60.9%,9,39.1%,14,93.3%,1,6.7%,227,90.1%,25,9.9%,30,83.3%,6,16.7%,53,79.1%,14,20.9%,105,98.1%,2,1.9%,92,78.6%,25,21.4%,24,92.3%,2,7.7%,254,88.8%,32,11.2%,20,100.0%,June.csv 2016
Warwickshire,4,100.0%,0,0.0%,83,81.4%,19,18.6%,9,90.0%,1,10.0%,10,90.9%,1,9.1%,1,50.0%,1,50.0%,78,97.5%,2,2.5%,4,80.0%,1,20.0%,11,84.6%,2,15.4%,16,100.0%,0,0.0%,23,88.5%,3,11.5%,2,100.0%,0,0.0%,106,74.6%,36,25.4%,6,100.0%,June.csv 2016
West Mercia,2,100.0%,0,0.0%,220,87.6%,31,12.4%,22,78.6%,6,21.4%,19,86.4%,3,13.6%,8,100.0%,0,0.0%,148,94.3%,9,5.7%,21,100.0%,0,0.0%,30,85.7%,5,14.3%,59,90.8%,6,9.2%,57,89.1%,7,10.9%,16,100.0%,0,0.0%,221,87.4%,32,12.6%,6,100.0%,June.csv 2016
